arrival_date,departure_date,location,transportation_modes,genre,hotel
08-06-1982,15-Aug-1982,"Chennai ; India","taxi - subway - motorcycle - tram - horse",M,"Murray LLC"
09-28-1985,04-Oct-1985,"Durban ; South Africa","car ; motorcycle ; ferry ; subway ; airplane ; walk ; boat",fem,"Medhurst, Streich and Schamberger"
03-30-2012,09-Apr-2012,"Durban ; South Africa","taxi | airplane | boat | car | horse | ferry | caravan | bicycle",Female,Schmeler-Renner
10-10-1987,18-Oct-1987,"Ankara | Turkey","motorcycle | subway | horse | caravan | car | taxi",fem,"Schaden LLC"
08-20-2008,29-Aug-2008,"Addis Ababa ; Ethiopia","caravan ; horse ; subway ; ferry ; taxi ; bus ; tram ; boat",Male,"Dare, Hoppe and Moore"
10-25-2011,31-Oct-2011,"Mexico City ; Mexico","ferry - bicycle - car - motorcycle",masc,"Nienow LLC"
03-03-1996,10-Mar-1996,"Hanoi - Vietnam","airplane ; train ; taxi ; boat ; motorcycle ; bus ; car",Fem,"Sporer Group"
10-08-2013,13-Oct-2013,"Abidjan | Ivory Coast","caravan | bicycle | subway | boat | walk | motorcycle",Masc,Cruickshank-Franecki
04-05-2021,12-Apr-2021,"Bangkok - Thailand","motorcycle - car - train - tram - subway",Female,"Schinner, Sauer and Powlowski"
09-30-1983,05-Oct-1983,"Mumbai | India","tram | bus | bicycle | car | subway | walk | boat",Masc,"Schinner, Sauer and Powlowski"
12-07-1998,14-Dec-1998,"Lahore | Pakistan","bus - walk - caravan - train - horse - taxi - motorcycle",Female,Kerluke-Armstrong
08-14-1990,22-Aug-1990,"Casablanca - Morocco","taxi - boat - caravan - bus - airplane",Female,"Schinner, Sauer and Powlowski"
04-29-1984,07-May-1984,"Yangon ; Myanmar","horse | car | bus | taxi | airplane | walk | boat",masc,"Murray LLC"
10-15-1973,21-Oct-1973,"Abidjan - Ivory Coast","train - caravan - walk - taxi - boat - car",fem,Quigley-Braun
06-16-1973,25-Jun-1973,"Beijing | China","boat ; horse ; bicycle ; train ; motorcycle",Male,Grant-Hand
01-22-1990,28-Jan-1990,"Addis Ababa ; Ethiopia","ferry ; motorcycle ; horse ; bus ; airplane ; walk ; subway",fem,"Schaden LLC"
08-24-2009,01-Sep-2009,"Yangon ; Myanmar","caravan - walk - taxi - boat - motorcycle - subway - airplane - train",M,"Feil LLC"
