arrival_date,departure_date,location,transportation_modes,genre,hotel
01-05-1972,11-Jan-1972,"Alexandria - Egypt","ferry ; subway ; bicycle ; car ; caravan",Fem,"Funk, Morar and Rodriguez"
11-03-2003,09-Nov-2003,"Lagos ; Nigeria","horse ; bicycle ; taxi ; motorcycle ; train",M,Wolff-Cartwright
12-29-1982,08-Jan-1983,"Durban - South Africa","train - tram - ferry - caravan - boat - bus - horse - airplane",Masc,Kerluke-Armstrong
08-09-2004,18-Aug-2004,"Lagos | Nigeria","tram - walk - subway - ferry - motorcycle",M,"Kulas LLC"
06-18-2007,27-Jun-2007,"Hanoi - Vietnam","airplane ; bicycle ; walk ; motorcycle ; caravan ; boat ; subway",M,Schmeler-Renner
07-16-2000,21-Jul-2000,"Mumbai | India","motorcycle | horse | car | walk | boat",masc,"Dare, Hoppe and Moore"
09-12-2012,16-Sep-2012,"Dhaka ; Bangladesh","bicycle ; taxi ; tram ; train ; subway ; horse",Masc,Blick-Bartell
10-13-1972,21-Oct-1972,"Pune ; India","ferry - caravan - airplane - tram - walk - taxi",Masc,"Hintz Group"
08-13-1983,22-Aug-1983,"Addis Ababa - Ethiopia","bus | train | boat | caravan | car | tram",Female,Blick-Bartell
07-17-2013,21-Jul-2013,"Lahore | Pakistan","taxi | boat | caravan | ferry",F,Feest-Bode
03-28-1992,05-Apr-1992,"Rio de Janeiro ; Brazil","train | airplane | bus | horse | ferry | subway",Masc,"Hodkiewicz, Luettgen and Stoltenberg"
03-30-1989,05-Apr-1989,"Casablanca | Morocco","caravan ; bus ; horse ; boat",Fem,Wolff-Cartwright
12-01-2011,10-Dec-2011,"Rio de Janeiro ; Brazil","motorcycle | taxi | caravan | train",M,"Murray LLC"
05-29-1971,05-Jun-1971,"Johannesburg | South Africa","airplane | motorcycle | taxi | tram | bus | subway",fem,"Schinner, Sauer and Powlowski"
07-01-2017,08-Jul-2017,"Pune - India","car - caravan - subway - taxi - walk - bicycle",Masc,"Leannon, Cassin and Trantow"
02-16-2009,20-Feb-2009,"Mumbai | India","motorcycle | bus | horse | subway | car | ferry",fem,"Murray LLC"
03-09-1989,18-Mar-1989,"Mumbai ; India","bus ; taxi ; bicycle ; motorcycle ; caravan ; boat ; airplane",Masc,"Hayes, Bins and Considine"
05-22-1991,30-May-1991,"London - United Kingdom","ferry - tram - horse - airplane - subway",Masc,White-Stroman
06-23-1973,30-Jun-1973,"Pune ; India","boat - airplane - horse - subway - walk - motorcycle",Masc,White-Stroman
07-28-1987,06-Aug-1987,"Yangon - Myanmar","subway - caravan - horse - boat - ferry - tram - taxi",M,"Nienow LLC"
01-22-1994,31-Jan-1994,"Lahore - Pakistan","boat ; subway ; tram ; bicycle ; train ; walk ; horse ; taxi",Fem,"Schaden LLC"
04-24-1994,02-May-1994,"Lagos - Nigeria","boat - car - airplane - horse",F,"Koelpin, Hoppe and Corwin"
12-31-1976,09-Jan-1977,"Lagos - Nigeria","subway | caravan | airplane | walk | horse | bus",Masc,"Bahringer LLC"
11-23-1984,29-Nov-1984,"Mumbai | India","motorcycle | walk | taxi | bicycle | subway | bus",Male,"Dare, Hoppe and Moore"
07-08-2006,18-Jul-2006,"Beijing ; China","bicycle | bus | subway | boat | horse | motorcycle | tram",Masc,"Fritsch, Hegmann and Mueller"
09-19-1999,23-Sep-1999,"Rio de Janeiro ; Brazil","bicycle | car | caravan | boat | airplane",fem,"Heaney - Robel and Witting"
09-17-2019,25-Sep-2019,"Durban ; South Africa","car | bicycle | bus | boat | horse",M,"Koelpin, Hoppe and Corwin"
05-15-2017,25-May-2017,"Mumbai - India","ferry ; motorcycle ; bicycle ; train",Fem,"Lubowitz, Prohaska and Reilly"
03-20-1978,30-Mar-1978,"Hanoi - Vietnam","motorcycle - bus - bicycle - walk - subway - horse - train - tram",Masc,"Feil LLC"
12-02-1971,10-Dec-1971,"Mexico City | Mexico","horse | bus | boat | subway | walk | taxi | ferry | caravan",fem,"Botsford Inc"
06-23-1982,28-Jun-1982,"Hanoi - Vietnam","caravan | walk | motorcycle | bus | car | subway | taxi | horse",F,"Altenwerth and Sons"
08-26-2018,01-Sep-2018,"Abidjan ; Ivory Coast","ferry ; train ; caravan ; tram ; boat ; car ; subway",Male,"Schaden LLC"
11-03-1990,10-Nov-1990,"Yangon - Myanmar","boat - caravan - taxi - motorcycle - walk - subway - airplane",masc,Cruickshank-Franecki
10-07-1997,13-Oct-1997,"Yangon | Myanmar","walk - train - car - taxi",Male,Rogahn-Crist
10-24-2012,02-Nov-2012,"Mumbai - India","walk ; ferry ; caravan ; airplane ; motorcycle ; boat ; subway ; taxi",M,Feest-Bode
07-31-2009,07-Aug-2009,"Delhi | India","car | motorcycle | train | subway | bicycle | boat | tram | ferry",Female,"Altenwerth and Sons"
10-02-2007,07-Oct-2007,"London ; United Kingdom","airplane | subway | walk | car | bicycle | tram | horse | bus",fem,Wolff-Cartwright
