arrival_date,departure_date,location,transportation_modes,genre,hotel
01-30-2010,09-Feb-2010,Dhaka ; Bangladesh,airplane - ferry - motorcycle - walk,Male,"Hodkiewicz, Luettgen and Stoltenberg"
06-07-1981,11-Jun-1981,Ankara - Turkey,ferry | boat | caravan | taxi,M,Cruickshank-Franecki
10-27-1993,03-Nov-1993,Lahore ; Pakistan,caravan | ferry | motorcycle | walk | taxi | airplane | car | tram,Male,Botsford Inc
03-28-1980,06-Apr-1980,Durban | South Africa,bus | ferry | taxi | bicycle | car | subway,fem,"Hayes, Bins and Considine"
02-17-2010,21-Feb-2010,Durban - South Africa,motorcycle | airplane | walk | tram | boat | bus | car,Male,"Hayes, Bins and Considine"
05-21-1992,25-May-1992,Bangkok ; Thailand,walk | airplane | train | horse | car | boat | caravan | tram,fem,Quigley-Braun
10-18-2012,24-Oct-2012,Alexandria ; Egypt,airplane | horse | tram | bicycle | car | train | motorcycle | subway,M,Feil LLC
03-22-2001,30-Mar-2001,Mexico City | Mexico,motorcycle - walk - subway - airplane - train - bicycle,F,Heaney Inc
08-18-2004,26-Aug-2004,Delhi | India,train - boat - car - airplane - tram - caravan - taxi - horse,Male,Goldner LLC
09-17-2020,23-Sep-2020,Lahore | Pakistan,subway - airplane - taxi - car,M,Feil LLC
01-09-1984,17-Jan-1984,Durban - South Africa,caravan ; tram ; bicycle ; motorcycle ; train ; bus ; car ; boat,masc,Blick-Bartell
11-15-1973,19-Nov-1973,Bangkok | Thailand,caravan ; taxi ; walk ; motorcycle ; subway,Fem,Wolff-Cartwright
06-03-1980,10-Jun-1980,Lagos ; Nigeria,taxi - walk - horse - bus,Masc,"Fritsch, Hegmann and Mueller"
11-23-2008,03-Dec-2008,Durban | South Africa,airplane | subway | tram | motorcycle,Female,Schmeler-Renner
01-21-1970,28-Jan-1970,Alexandria ; Egypt,walk | car | bus | horse,masc,Rogahn-Crist
07-24-2009,03-Aug-2009,Mexico City - Mexico,car ; taxi ; bicycle ; train,Masc,Altenwerth and Sons
08-21-1984,30-Aug-1984,Pune - India,train - subway - airplane - bus - taxi - bicycle - ferry,Female,Schmeler-Renner
03-03-1972,07-Mar-1972,Hanoi - Vietnam,subway | bus | caravan | train | tram,Fem,"Dare, Hoppe and Moore"
08-17-1988,27-Aug-1988,Dhaka ; Bangladesh,ferry - airplane - walk - car - boat - bus,masc,"Kassulke, Rath and Upton"
05-04-2000,08-May-2000,Pune - India,airplane - taxi - car - walk - tram,F,Murray LLC
07-03-1975,08-Jul-1975,Beijing ; China,bicycle ; train ; ferry ; walk ; subway ; horse,M,Murray LLC
02-25-1988,05-Mar-1988,Mumbai - India,train - subway - caravan - walk,Fem,"Dare, Hoppe and Moore"
08-06-1980,15-Aug-1980,Rio de Janeiro | Brazil,caravan ; tram ; boat ; subway,Female,Wolff-Cartwright
04-19-1986,24-Apr-1986,Mumbai | India,airplane - boat - bus - ferry - bicycle - train,Fem,"Dare, Hoppe and Moore"
09-28-2012,05-Oct-2012,Durban ; South Africa,tram | ferry | caravan | car | boat | train | walk | motorcycle,Male,Nienow LLC
08-20-1990,29-Aug-1990,Lahore - Pakistan,ferry - tram - subway - bicycle,M,Cremin Inc
09-22-2009,01-Oct-2009,Johannesburg ; South Africa,car | motorcycle | subway | bicycle | horse,Male,"Medhurst, Streich and Schamberger"
06-28-2011,07-Jul-2011,Rio de Janeiro ; Brazil,boat | ferry | caravan | taxi,Masc,"Fritsch, Hegmann and Mueller"
01-18-2006,26-Jan-2006,Beijing | China,taxi - boat - bus - car,Female,Bahringer LLC
12-14-1978,19-Dec-1978,Lagos ; Nigeria,caravan ; bicycle ; train ; car ; horse ; bus,masc,Murray LLC
07-21-2020,31-Jul-2020,Rio de Janeiro - Brazil,motorcycle | subway | train | walk | car,Fem,Bahringer LLC
11-06-1990,13-Nov-1990,Rio de Janeiro ; Brazil,ferry - motorcycle - caravan - walk - bus - airplane - car - subway,F,Kulas LLC
10-24-1979,29-Oct-1979,Johannesburg ; South Africa,airplane | ferry | boat | bicycle | caravan,F,"Lubowitz, Prohaska and Reilly"
06-06-2002,14-Jun-2002,Casablanca - Morocco,bus - tram - taxi - bicycle - horse - caravan - ferry,fem,Rogahn-Crist
03-27-1989,05-Apr-1989,Lagos - Nigeria,ferry ; caravan ; train ; taxi ; bicycle,F,"Funk, Morar and Rodriguez"
06-04-1987,14-Jun-1987,Ankara ; Turkey,horse | ferry | car | bus | motorcycle,M,"Koelpin, Hoppe and Corwin"
12-22-2019,31-Dec-2019,Addis Ababa - Ethiopia,caravan | subway | train | horse | ferry | airplane | car | tram,Fem,Goldner LLC
10-12-2007,17-Oct-2007,Hanoi - Vietnam,taxi | bicycle | train | caravan | bus | tram | boat,masc,"Medhurst, Streich and Schamberger"
04-18-1985,27-Apr-1985,Hanoi - Vietnam,car ; bus ; ferry ; motorcycle ; tram ; caravan ; subway ; walk,Male,"Funk, Morar and Rodriguez"
08-03-2001,13-Aug-2001,Beijing | China,bus - caravan - tram - taxi,masc,"Hodkiewicz, Luettgen and Stoltenberg"
04-24-2014,04-May-2014,Abidjan ; Ivory Coast,motorcycle ; car ; airplane ; boat ; tram ; horse ; ferry,F,Wolff-Cartwright
10-28-2011,05-Nov-2011,Lahore - Pakistan,bicycle ; walk ; horse ; boat ; motorcycle ; taxi ; car ; bus,Male,Nienow LLC
11-20-2009,28-Nov-2009,Mumbai - India,boat | bicycle | airplane | horse | subway | ferry | caravan | train,masc,"Schinner, Sauer and Powlowski"
12-18-2012,23-Dec-2012,London - United Kingdom,boat ; ferry ; airplane ; caravan ; horse,Fem,Schmeler-Renner
07-24-1978,29-Jul-1978,Lagos | Nigeria,train - taxi - walk - bicycle - tram,M,Blick-Bartell
12-31-1970,05-Jan-1971,Addis Ababa | Ethiopia,horse | taxi | boat | airplane | ferry | walk,Fem,"Medhurst, Streich and Schamberger"
06-15-1993,21-Jun-1993,Durban | South Africa,boat - walk - motorcycle - taxi,Male,Kerluke-Armstrong
02-27-1985,08-Mar-1985,Rio de Janeiro - Brazil,car | motorcycle | boat | taxi | walk | tram | ferry | bus,M,Sporer Group
01-14-2014,22-Jan-2014,Ankara | Turkey,caravan ; train ; bus ; ferry ; bicycle ; walk,masc,Kulas LLC
08-12-1998,16-Aug-1998,Pune - India,bicycle - walk - horse - airplane - taxi - tram - train,Female,Langosh-Franecki
12-24-1977,31-Dec-1977,Yangon | Myanmar,walk ; subway ; ferry ; bus ; motorcycle ; airplane,F,Sporer Group
05-06-1980,10-May-1980,Dhaka - Bangladesh,motorcycle ; ferry ; taxi ; caravan ; bus ; walk ; airplane,fem,"Kassulke, Rath and Upton"
09-16-1982,25-Sep-1982,Rio de Janeiro - Brazil,bus ; tram ; boat ; subway ; motorcycle ; airplane ; car ; ferry,fem,Kerluke-Armstrong
05-13-1992,22-May-1992,Dhaka - Bangladesh,airplane | caravan | tram | motorcycle | bicycle,Fem,Ledner LLC
10-16-1976,21-Oct-1976,Yangon ; Myanmar,tram ; bicycle ; caravan ; walk ; motorcycle ; airplane ; car ; bus,Fem,Feil LLC
11-26-1972,04-Dec-1972,London ; United Kingdom,train ; taxi ; car ; ferry ; walk ; boat ; bicycle ; caravan,Masc,Ledner LLC
08-20-2004,29-Aug-2004,Johannesburg ; South Africa,horse | ferry | bus | taxi | bicycle | caravan | subway | car,fem,"Medhurst, Streich and Schamberger"
06-27-2001,06-Jul-2001,Rio de Janeiro ; Brazil,train | taxi | ferry | tram | bus | horse | bicycle,Male,Kulas LLC
07-09-1984,16-Jul-1984,Abidjan ; Ivory Coast,caravan - car - tram - bicycle - airplane - horse - taxi,F,Nienow LLC
01-23-1999,31-Jan-1999,Casablanca | Morocco,ferry ; taxi ; bicycle ; bus ; tram ; train ; horse ; walk,masc,Ledner LLC
12-13-1985,20-Dec-1985,Casablanca ; Morocco,subway ; train ; tram ; horse ; motorcycle ; bus ; car,Fem,Feest-Bode
05-01-1994,06-May-1994,Casablanca | Morocco,train | subway | car | bicycle | boat | horse | taxi | airplane,F,Cruickshank-Franecki
05-10-1975,15-May-1975,Johannesburg ; South Africa,bicycle | ferry | tram | subway | horse | caravan,M,Heaney Inc
10-20-2000,28-Oct-2000,Delhi - India,taxi | subway | boat | airplane | caravan,F,Sporer Group
08-03-2010,09-Aug-2010,Addis Ababa | Ethiopia,car | airplane | walk | tram | train | ferry | horse,M,Cremin Inc
06-18-2018,23-Jun-2018,Lagos - Nigeria,car - motorcycle - bicycle - train - airplane - horse - caravan - boat,Masc,Hintz Group
01-29-1999,02-Feb-1999,Johannesburg ; South Africa,train - walk - tram - ferry - taxi - airplane,Fem,Sporer Group
02-22-1991,02-Mar-1991,London ; United Kingdom,subway - car - bicycle - horse - airplane - taxi - boat - tram,M,Feest-Bode
06-24-1999,30-Jun-1999,Alexandria ; Egypt,subway ; motorcycle ; boat ; caravan,masc,Cremin Inc
01-22-2005,28-Jan-2005,Durban | South Africa,subway ; tram ; ferry ; bicycle,F,Blick-Bartell
03-13-2021,19-Mar-2021,Delhi ; India,bus - subway - ferry - boat - tram - horse - car,M,"Lubowitz, Prohaska and Reilly"
03-23-1997,31-Mar-1997,Pune - India,caravan - airplane - train - horse - bicycle - ferry - tram,F,Heaney - Robel and Witting
09-26-1980,01-Oct-1980,Alexandria ; Egypt,tram | airplane | subway | car | horse | motorcycle | ferry,Female,Schaden LLC
10-03-1974,11-Oct-1974,Bangkok - Thailand,caravan | subway | train | boat,masc,Rempel and Sons
03-21-2006,28-Mar-2006,Rio de Janeiro | Brazil,tram - boat - airplane - motorcycle,Male,"Funk, Morar and Rodriguez"
08-30-1994,09-Sep-1994,Beijing ; China,bicycle | bus | horse | subway | motorcycle | tram,fem,Cremin Inc
11-12-1998,22-Nov-1998,Durban - South Africa,walk ; bus ; bicycle ; ferry,M,Kerluke-Armstrong
04-29-2020,03-May-2020,Abidjan ; Ivory Coast,bicycle ; boat ; ferry ; caravan ; car,M,Goldner LLC
03-18-1996,22-Mar-1996,Chennai | India,subway - bus - tram - boat - bicycle - car - ferry,Male,Murray LLC
06-10-2013,20-Jun-2013,Addis Ababa | Ethiopia,tram ; walk ; airplane ; taxi ; ferry,Masc,"Koelpin, Hoppe and Corwin"
05-21-1989,30-May-1989,Mexico City ; Mexico,subway | airplane | bus | walk | ferry | caravan | train,Masc,Bahringer LLC
11-29-1989,07-Dec-1989,Johannesburg | South Africa,train | horse | tram | ferry | taxi | caravan | boat,Fem,Wolff-Cartwright
12-06-2001,10-Dec-2001,Mumbai ; India,motorcycle ; taxi ; car ; bicycle ; train,M,"Koelpin, Hoppe and Corwin"
12-08-1989,17-Dec-1989,Lagos ; Nigeria,tram - ferry - train - car,M,Cruickshank-Franecki
03-19-1983,26-Mar-1983,Yangon - Myanmar,car | bus | bicycle | boat | airplane | walk | motorcycle | subway,F,"Hodkiewicz, Luettgen and Stoltenberg"
08-01-1992,09-Aug-1992,Delhi ; India,horse - motorcycle - bus - tram - walk - train,fem,Kerluke-Armstrong
11-07-2006,11-Nov-2006,Chennai ; India,car | train | boat | horse | ferry | caravan | subway,F,Goldner LLC
01-09-2017,14-Jan-2017,London | United Kingdom,caravan - subway - horse - walk - ferry,Fem,Schaden LLC
08-19-1991,23-Aug-1991,Lagos ; Nigeria,motorcycle ; train ; bus ; horse,Female,Cruickshank-Franecki
04-18-2000,25-Apr-2000,Casablanca - Morocco,ferry | motorcycle | subway | walk | bus | caravan,F,"Kassulke, Rath and Upton"
11-05-1982,15-Nov-1982,Beijing ; China,subway ; bus ; boat ; airplane ; ferry ; horse ; taxi,masc,"Kassulke, Rath and Upton"
11-16-1973,26-Nov-1973,Lagos ; Nigeria,taxi - boat - bicycle - ferry - motorcycle - tram - car - train,Fem,Goldner LLC
12-05-1986,12-Dec-1986,Lagos | Nigeria,boat ; car ; horse ; airplane ; ferry ; train ; caravan,F,Cremin Inc
09-30-2018,04-Oct-2018,Alexandria ; Egypt,ferry | train | motorcycle | walk | horse,F,Ledner LLC
09-20-1971,30-Sep-1971,Chennai ; India,train | tram | car | caravan | taxi | bicycle | horse,masc,"Hodkiewicz, Luettgen and Stoltenberg"
06-07-2007,11-Jun-2007,Rio de Janeiro | Brazil,caravan | horse | tram | bus,Masc,Feest-Bode
08-05-2015,14-Aug-2015,Chennai | India,boat - walk - subway - ferry - tram - taxi,F,Goldner LLC
08-18-1986,25-Aug-1986,Beijing ; China,subway - ferry - tram - bicycle - boat - motorcycle - train - caravan,fem,Cruickshank-Franecki
09-03-2010,09-Sep-2010,London | United Kingdom,tram | car | taxi | ferry | bus | bicycle | walk,fem,"Dare, Hoppe and Moore"
