contract_id,hotel,ingredients
15sdkigh5a,"Herman, Considine and Senger","Apple Cider Vinegar,Pecan Nut,Soy Beans,Wakame"
9am4strgic,Feil LLC,"Bacon,Vegetable Oil,Camomile,Loquats"
2dgoy2fkxt,Dickens-Ortiz,"Apples,Kidneys,Apple Cider Vinegar"
iugxl5rocd,Leffler-Huel,"Fingerlime,Kombu,Cream Cheese"
reiz4zjk72,"Aufderhar, Mosciski and Smith","Redfish,White Wine,Saffron,Fingerlime"
b3dcp04w34,Hegmann Inc,"Redfish,Tapioca Flour,Pear Juice"
7lail3yie1,Nienow LLC,"Nutritional Yeast,Vegetable Stock,Green Tea Noodles,Mastic"
f0hw1xv90w,Murray LLC,"Flat Mushrooms,Iceberg Lettuce,Baking Powder,Pork,Taleggio Cheese"
rzooo776c1,Sporer Group,"Flaxseed Oil,Shark,Parsnip,Redfish"
z74jnq8krn,Hegmann Inc,"Achacha,Cauliflower,Silverbeet,Fingerlime"
9ycj7tga8h,"Leannon, Cassin and Trantow","Elderberry,Salmon,Hokkien Noodles,Flat Mushrooms,Vegetable Oil"
dzrgsb3ymn,Nienow LLC,"Chia Seeds,Smoked Trout,Loquats,Tapioca Flour,Tahini"
5cojwsynt6,Dickens-Ortiz,"Bean Sprouts,White Wine,Hokkien Noodles"
y2h44jqwiu,Berge-Parker,"Flat Mushrooms,Cream Cheese,Silverbeet"
269r0o5pgu,Botsford Inc,"Berries,Rice Noodles,Camomile"
ys1pd3ogw2,Hyatt Inc,"Flaxseed Oil,Nuts,Omega Spread,Peas,Chives"
idkj3m2uif,"Leannon, Cassin and Trantow","Fingerlime,Curry Powder,Black Eyed Beans"
g3fqsacc6b,"Kutch, Ryan and Boyer","Apples,Baking Powder,Red Cabbage,Kombu,Turnips"
fvxbxakux8,"Herman, Considine and Senger","Kidneys,Soy Sauce,Taleggio Cheese,Rockmelon"
wji991a7k0,Cremin Inc,"Corn Oil,Apricots,Bonza,Omega Spread,Soymilk"
j62d44ximp,"Sipes, Schamberger and Stokes","Mastic,Vegetable Stock,Tamarillo,Smoked Trout,Elderberry"
yv4wom4xb4,"Becker, Considine and Koelpin","Sunflower Seeds,Green Tea Noodles,Camomile"
1jdf26n4g5,Berge-Parker,"White Wine,Bean Sprouts,Pecan Nut"
bmt8u81sad,Dare LLC,"Salmon,Green Tea Noodles,Cacao,Freekeh,Feta"
yz406w0r4y,Nienow LLC,"Salmon,Butter,White Wine"
1bgmndpu7l,Hyatt Inc,"Corn Oil,Soymilk,Tahini,Mastic,Plums"
psj690a408,"Becker, Considine and Koelpin","Chives,Elderberry,Tamarillo,Turnips,Omega Spread"
jvi08iqc86,"Lubowitz, Prohaska and Reilly","Tinned,Oatmeal,Feta,Warehou,Pecan Nut"
qzqh63grlq,Quigley-Braun,"Peas,Baking Powder,Ham"
fszfw15sf6,Brown Group,"Rockmelon,Kombu,Lychees"
9hy6kmnc6e,Quigley-Braun,"Cornmeal,Taleggio Cheese,Butter"
zhyrdlo2c5,Dickens-Ortiz,"Cauliflower,Lychees,Bonza,Cardamom"
5lp85oways,Heidenreich-Hagenes,"Bonza,Sunflower Oil,Strawberries"
567f1n10qu,Pollich Inc,"William Pear,Pecan Nut,Berries"
qklch7mzjt,"Gottlieb, Wolff and Bechtelar","William Pear,Flaxseed Oil,Cardamom,Apples,Ham"
2s9fuq6w3e,"Sipes, Schamberger and Stokes","Freekeh,Chives,Extra Virgin Olive Oil,Baking Powder"
quvjvg2od1,Dickens-Ortiz,"Ham,Rice Noodles,Green Tea Noodles"
7nvsev5e79,Kerluke-Armstrong,"Provolone,Parsnip,Cacao,Freekeh,Cauliflower"
giknlh469v,Nienow LLC,"Mastic,Cacao,Spinach,Cornmeal,Wakame"
ycmqekpdiv,"McCullough, Leannon and Nolan","Ham,Tarragon,Extra Virgin Olive Oil,Redfish"
slp39zzmd8,Reilly-Ebert,"Pecan Nut,Elderberry,Black Eyed Beans,Warehou"
jrdlrsi52s,Skiles Group,"Wakame,Smoked Trout,Tinned"
ejmmbdje3f,Skiles Group,"Tinned,Kidneys,Rice Noodles,Jasmine Rice"
kt48otuk2h,Deckow-Kihn,"Bacon,Nuts,Rockmelon,Ham,Bonza"
sh53i8vxh0,Skiles Group,"Achacha,Oatmeal,Pork,Dried Apricots"
pdrl1l3ozq,Bruen-Jaskolski,"Freekeh,Tamarillo,Feta,Apples"
ygqpe0qmsk,"Becker, Considine and Koelpin","Sunflower Oil,Achacha,Smoked Trout,Silverbeet,English Spinach"
hadb54pagg,Deckow-Kihn,"Tapioca Flour,Rockmelon,Shark"
lf2xd30xmh,Deckow-Kihn,"English Spinach,Peas,Extra Virgin Olive Oil"
y2u0d8lwml,Quigley-Braun,"Parsnip,Soymilk,Flat Mushrooms"
bxkjlsu97t,Berge-Parker,"Oatmeal,Loquats,Soy Beans,Hokkien Noodles,Tahini"
l5kgmesham,"Aufderhar, Mosciski and Smith","Rockmelon,Extra Virgin Olive Oil,Apples"
02u4upaajx,Lockman-Wintheiser,"Pecan Nut,Black Eyed Beans,Pork,Cauliflower"
m42rpe1rgj,Dietrich Inc,"Cornmeal,Cinnamon,Sunflower Oil,Apple Cider Vinegar"
2e8h2egwgh,Blanda and Sons,"Smoked Trout,Feta,Redfish,Wakame,Shark"
cm2p69dm8j,Skiles Group,"Rose Water,Mastic,Lychees"
8d1zg230vc,Schaden LLC,"Kidneys,Tinned,Cauliflower,Freekeh"
wl5ss6rc9g,Dietrich Inc,"Berries,Redfish,Sunflower Oil,Nuts,Mahlab"
